id,x,y
"208",121.4824613437,24.8914666376
"209",121.5445652547,25.1412316957
"210",121.5512586607,24.9195165629
"211",121.5119253029,24.9310561079
"212",121.4674225780,25.0800112809
"213",121.4615476855,24.9470326662
"214",121.4093322802,25.0313555866
"215",121.5899274445,25.1508872423
"216",121.5828394141,25.1459962675
"217",121.5721084205,25.0112468163
"218",121.5815012794,24.9131313708
"219",121.5914474327,25.1211823928
"220",121.5557954231,25.1216363548
"221",121.5477843264,24.9502809607
"222",121.6195128051,25.0867008356
"223",121.3767473773,25.0770970438
"224",121.5090839081,25.0755444724
"225",121.5458433173,24.9476147443
"226",121.5437864535,24.9180219452
"227",121.4448178454,25.0248592383
"228",121.5002459287,25.0959112339
"229",121.5627923079,24.9914564184
"230",121.4761189662,24.9519926943
"231",121.4051735263,25.0436637455
"232",121.5593749451,24.9683491619
"233",121.5709815491,24.9424195690
"234",121.6209205661,25.0927957776
"235",121.6202398869,25.0387929135
"236",121.5533394344,24.9410407536
"237",121.4996602945,24.9570004297
"238",121.5919603747,25.1397409448
"239",121.5273610658,24.9183222413
"240",121.5080746041,25.0465396243
"241",121.3648645453,25.0889569567
"242",121.5748546828,24.9187917431
"243",121.5377116309,24.9305673238
"244",121.5832048886,24.9493747366
"245",121.5022450060,24.9645374731
"246",121.5932049320,24.9720528522
"247",121.5917140338,24.9793767424
"248",121.5517798878,25.0983625070
"249",121.3476469770,25.1209693415
"250",121.5527831954,24.9851642908
"251",121.4604218841,25.0442849774
"252",121.5867775688,25.1199551817
"253",121.5461013843,24.9232923512
"254",121.4902903589,24.8863410919
"255",121.3380906745,25.1054693488
"256",121.6206443896,25.0378760933
"257",121.5238758139,25.0765648972
"258",121.5078747271,24.8861503793
"259",121.5982957369,24.9850386638
"260",121.6115154435,25.0744718562
"261",121.5601719457,24.9075976763
"262",121.5340537246,24.9365125416
"263",121.5559768063,25.1363697385
"264",121.5483776130,24.9572061773
"265",121.4828508528,25.0594621231
"266",121.5578505657,24.9225368593
"267",121.5600999627,24.9974143013
"268",121.5272754629,24.9694125987
"269",121.5407948515,24.9532383392
"270",121.5537269011,24.9114183869
"271",121.4847356411,25.0383292352
"272",121.4503967444,25.0385576819
"273",121.5881414471,24.9315406091
"274",121.5648626443,24.9332108691
"275",121.5327814894,24.9750040240
"276",121.5021203102,24.9297864393
"277",121.4640025625,25.0633201415
"278",121.5523085762,25.1232370502
"279",121.4724217193,25.0737311129
"280",121.3982724779,25.0419573954
"281",121.6042073628,25.1049756466
"282",121.4867576035,24.9392717021
"283",121.3937714829,25.0433432128
"284",121.6148035119,25.0475772018
"285",121.4817283417,24.9592047032
"286",121.5855421583,25.0974394586
"287",121.5298256453,24.9551821407
"288",121.5904421486,25.0371782245
"289",121.3208192481,25.1008950595
"290",121.5220155289,24.9576013838
"291",121.3590286048,25.1343035393
"292",121.4844780392,25.1093793696
"293",121.3625134203,25.0854783269
"294",121.5591998620,24.9766515314
"295",121.3283325878,25.0913849614
"296",121.3096436283,25.1120303709
"297",121.3352365680,25.1089603710
"298",121.4012625237,25.0411366822
"299",121.5489480596,24.9666565848
"300",121.4787326875,24.9317036440
"301",121.3658641112,25.1025460002
"302",121.5406070816,24.9513182403
"303",121.5018049560,25.0625830802
"304",121.5028854129,24.9008777126
"305",121.5472263647,24.9784656022
"306",121.5899439079,25.0173991839
"307",121.5558420514,24.9636369874
"308",121.5575551508,24.9597999361
"309",121.4808447299,25.0594628164
"310",121.5221760594,24.9374449365
"311",121.5668131065,24.9895332059
"312",121.5672464853,25.1297013128
"313",121.5785043217,25.1039439208
"314",121.5133389063,24.9633532379
"315",121.5226831377,24.8933868301
"316",121.5767310767,24.9544320589
"317",121.6078602100,25.0339229646
"318",121.4103265929,25.0343888631
"319",121.6187723524,25.0584187714
"320",121.4383163206,25.0179876107
"321",121.3897004698,25.1041102332
"322",121.4765272866,25.0924136681
"323",121.3627824557,25.1086019322
"324",121.4616853939,25.0437177660
"325",121.5861473560,24.9782577309
"326",121.5747536968,25.0857781197
"327",121.5621934630,25.1003124841
"328",121.6137168155,25.0861659636
"329",121.5146595777,25.0549827291
"330",121.5037253354,24.9027288136
"331",121.3901843309,25.0729638085
"332",121.5960020583,24.9832993334
"333",121.4756055210,25.0510954481
"334",121.5670141710,25.1689626980
"335",121.5505069177,25.1356021006
"336",121.6092342086,25.0655548470
"337",121.4681058271,24.9520838164
"338",121.5374084367,24.9112489538
"339",121.5921093759,25.0343946328
"340",121.5675895347,24.9457809146
"341",121.3761702805,25.0918496710
"342",121.5562166002,24.9998534511
"343",121.5866663027,25.1147297023
"344",121.4033251692,25.0872130688
"345",121.4924029796,24.9121458512
"346",121.4881409339,25.0759338687
"347",121.5947152011,25.0228714464
"348",121.3550082023,25.0942092531
"349",121.5932356141,25.1089517413
"350",121.5477983152,25.1035384212
"351",121.6149258946,25.0528547668
"352",121.3646491358,25.0698633363
"353",121.3452567524,25.0932228432
"354",121.5929845779,25.1089820691
"355",121.5015666064,25.0596732679
"356",121.6245742018,25.0331244444
"357",121.4567035747,25.0821159926
"358",121.3830012005,25.1030063250
"359",121.3638203594,25.1342236706
"360",121.5106024588,25.0562805562
"361",121.5364071325,24.9726253587
"362",121.3685595880,25.1234036673
"363",121.5812117649,25.1077887125
"364",121.5261253762,25.0874304528
"365",121.5918458521,24.9171876292
"366",121.3417292832,25.1030091496
"367",121.5935194618,25.0853961213
"368",121.3104427090,25.1185274252
"369",121.5924249766,24.9874452579
"370",121.5532079529,24.9785644246
"371",121.5426989576,24.9932822241
"372",121.5288328409,24.9216232955
"373",121.5523555649,24.9443670643
"374",121.5073816818,24.9058751699
"375",121.5999020509,25.1005922449
"376",121.3789410954,25.0771195917
"377",121.5683649270,25.1563748726
"378",121.5734074563,25.1696237788
"379",121.5596319483,24.9108768958
"380",121.3717946253,25.0893647303
"381",121.4901177906,25.0732812233
"382",121.5600853993,24.9985796354
"383",121.4565353995,25.0407636488
"384",121.3280831083,25.0950968332
"385",121.4832900424,24.8773756651
"386",121.5042389259,24.9325731856
"387",121.5811445395,25.0932399379
"388",121.4082543666,25.0374279658
"389",121.5017941316,24.9065417012
"390",121.5584549627,25.0059553610
"391",121.4623563209,25.0959176880
"392",121.5341214008,24.9887568881
"393",121.4966219351,24.9698700773
"394",121.5851759523,25.0133839236
"395",121.5913152257,25.1132736922
"396",121.5483788309,24.9703665323
"397",121.6474861298,25.0256049267
"398",121.3312730391,25.1060161517
"399",121.4997144593,25.0301012589
"400",121.5765794881,24.9119008425
"401",121.6197781738,25.0823169059
"402",121.4734697432,25.0944314932
"403",121.5919794783,25.0772597452
"404",121.4977217553,24.9254591860
