id,x,y
"311",121.5374958469,25.0412945005
"312",121.4689771580,24.9980397347
"313",121.4959431889,24.9811783387
"314",121.4441544608,24.9994814101
"315",121.5304759555,25.0806147071
"316",121.5261947195,25.0409333278
"317",121.4974108397,24.9999760240
"318",121.5572930821,25.0415144558
"319",121.5337946124,25.0679372523
"320",121.5652702004,25.0271589038
"321",121.4625665093,24.9928504978
"322",121.4456391067,25.0096959667
"323",121.5335238446,25.0800462208
"324",121.5152894337,25.0473815262
"325",121.4687317638,25.0091469891
"326",121.4683976145,25.0162959294
"327",121.4895036215,24.9683759218
"328",121.5132886412,25.0174933695
"329",121.4908224882,24.9702120443
"330",121.5063776398,24.9893227751
"331",121.4596492988,24.9959164513
"332",121.4529497718,25.0197002763
"333",121.5556572677,25.0635505939
"334",121.4599148321,25.0089787462
"335",121.5670542377,25.0776191392
"336",121.5190943345,25.0074496957
"337",121.5386024313,25.0141476845
"338",121.4704316865,25.0223025832
"339",121.5477013338,25.0898012009
"340",121.5034470483,24.9803009619
"341",121.4814418285,24.9981520694
"342",121.5075829761,24.9935768791
"343",121.5620697650,25.0234933991
"344",121.4569735412,25.0004935764
"345",121.5704455639,25.0547720906
"346",121.5758662232,25.0393655384
"347",121.5310818010,25.0062938658
"348",121.4649174856,25.0193213747
"349",121.4975928575,24.9807701628
"350",121.5386128018,25.0340204500
"351",121.5654606143,25.0427622363
"352",121.4750433774,24.9988552444
"353",121.4918199208,25.0106194532
"354",121.5695150075,25.0416026537
"355",121.5263698888,25.0095440787
"356",121.5276198567,25.0807676365
"357",121.4688293298,25.0111666327
"358",121.5271971973,25.0251505309
"359",121.5789636958,25.0296680527
"360",121.5258496857,25.0518922276
"361",121.4962371225,25.0053702944
"362",121.5220036910,25.0539843812
"363",121.5606028635,25.0411149103
"364",121.5413425263,25.0223126673
"365",121.5069155447,25.0271957715
"366",121.5478407337,25.0169883739
"367",121.5275135547,25.0573375279
"368",121.4617738201,25.0161914809
"369",121.5635979514,25.0166093213
"370",121.4780244188,25.0087954059
"371",121.5636054524,25.0108642254
"372",121.5764997763,25.0462242227
"373",121.5375676771,25.0646892326
"374",121.5213493083,24.9995537093
"375",121.5202084591,25.0123380484
"376",121.5568366518,25.0327572875
"377",121.5725597259,25.0151464778
"378",121.4871594751,24.9941663332
"379",121.5430686004,25.0827061667
"380",121.5467158933,25.0395423069
"381",121.5232100342,25.0334831781
"382",121.5209780349,25.0031853168
"383",121.5445382026,25.0642404277
"384",121.4781040030,25.0394223664
"385",121.5577866202,25.0332102147
"386",121.5238442456,25.0401117227
"387",121.5276610849,25.0394663889
"388",121.5030496053,24.9746367433
"389",121.5407207744,25.0096417300
"390",121.5435650473,25.0373597046
"391",121.5833017821,25.0353670190
"392",121.4973691674,24.9960295066
"393",121.5011640342,25.0038995208
"394",121.4542700999,25.0083014130
"395",121.5037673384,24.9803942347
"396",121.4585813349,25.0111708613
"397",121.5277954702,24.9873850034
"398",121.5858941887,25.0319841109
"399",121.5042482319,24.9930567540
"400",121.5796008446,25.0457696468
"401",121.5350869692,25.0664807385
"402",121.5106947678,25.0403902301
"403",121.4959735083,25.0068353255
"404",121.5320083599,25.0385979605
"405",121.5433742026,25.0712581928
"406",121.5473889899,25.0304544078
"407",121.5162624885,25.0048454805
"408",121.5186019906,25.0386272894
"409",121.4567973884,25.0147160052
"410",121.4440053176,25.0001205736
"411",121.4630050773,25.0367605361
"412",121.5693461495,25.0354112110
"413",121.5473980181,25.0508233032
"414",121.5172831804,25.0230681865
"415",121.5266535109,25.0580092560
"416",121.5573229523,25.0722948791
"417",121.5775917908,25.0269463003
"418",121.5477609362,25.0171249638
"419",121.5203082221,25.0491729378
"420",121.5391251403,25.0808385050
"421",121.4300542927,24.9819561184
"422",121.4594609532,25.0070339728
"423",121.4797688424,25.0184551604
"424",121.5604781831,25.0110180687
"425",121.5306193392,25.0361469840
