id,x,y
"127",121.6356158305,25.2197127028
"128",121.4006481338,25.0454369805
"129",121.4449792332,24.9288421824
"130",121.6374030445,25.0087419995
"131",121.4228274780,24.9289440972
"132",121.4966392450,25.1939502639
"133",121.3513459508,24.8617791636
"134",121.5985065004,25.1500525635
"135",121.5963889365,25.2639397164
"136",121.3405375162,24.9048590615
"137",121.3555234692,24.8875362986
"138",121.3956517793,24.8709659340
"139",121.4934683005,25.1232916797
"140",121.5602558942,25.2807180960
"141",121.3292779269,24.9392684502
"142",121.5130062564,25.1020215069
"143",121.4608071209,24.8354181402
"144",121.3898126526,24.9108071636
"145",121.4650673628,25.1996236461
"146",121.3519646027,24.9614476778
"147",121.7711335340,25.0046209863
"148",121.6282686066,25.0574679684
"149",121.5925684409,25.2819323891
"150",121.4702294735,24.9066997862
"151",121.7581860829,25.1106141115
"152",121.7593340004,25.0292761673
"153",121.6250908631,24.9913942171
"154",121.3806688594,24.8910099209
"155",121.4428294174,25.1911543193
"156",121.5203557690,25.1415451415
"157",121.4066054637,25.0047479947
"158",121.5526862710,25.2256736754
"159",121.7520368819,24.9924772886
"160",121.3932530632,24.9559833892
"161",121.5874528251,25.2808650797
"162",121.5194916338,25.1923571678
"163",121.4396220654,24.9128427007
"164",121.6284376668,25.2318745419
"165",121.3920270916,24.9639704671
"166",121.3389323602,24.9404596844
"167",121.3666451262,24.9489796977
"168",121.6165576570,25.0117303047
"169",121.5966759808,25.1815717656
"170",121.6080864680,25.2340627499
"171",121.4219105888,25.1699417124
"172",121.5358009397,25.1953109427
"173",121.8480860947,25.0960918756
"174",121.4188866006,24.8538534268
"175",121.6849776315,25.1900002926
"176",121.3670217654,24.9177034050
"177",121.6236261023,25.1568554608
"178",121.5722081305,25.2629176491
"179",121.3610084685,24.8836690096
"180",121.4515882250,24.8234527379
"181",121.7028423521,25.0564525192
"182",121.4393209796,24.8306194051
"183",121.4057585915,25.1490565587
"184",121.3860550230,24.9502804550
"185",121.4306911656,24.8221201949
"186",121.7360592404,25.0051686680
"187",121.4749580472,25.1560490475
"188",121.7467544470,24.9946463844
"189",121.5459867049,25.2869099488
"190",121.6350567582,25.0722304831
"191",121.5444422127,25.2661200852
